 Gauge     Lon         Lat      Easting   Northing   FRF-X   FRF-Y   FRF-Z   Depth
       (deg)       (deg)       (m)       (m)       (m)     (m)     (m)   NAVD88 (m)
 161  -75.7425750  36.1864616  902558.78  275097.18  914.22  735.43  -7.89  -8.44
 151  -75.7426690  36.1866799  902549.54  275121.12  913.72  761.09  -7.87  -8.38
 141  -75.7427900  36.1869757  902537.58  275153.56  913.60  795.65  -7.91  -8.42
 231  -75.7429120  36.1869993  902526.52  275155.82  903.98  801.57  -7.84  -8.30
 221  -75.7432144  36.1869112  902499.66  275145.16  875.09  800.75  -7.67  -8.18
 211  -75.7436517  36.1868046  902460.74  275132.05  834.03  801.76  -7.35  -7.83
 131  -75.7427930  36.1870246  902537.13  275158.98  915.03  800.90  -7.93  -8.46
 241  -75.7425835  36.1870770  902555.78  275165.40  934.75  800.55  -7.99  -8.57
 251  -75.7423697  36.1871292  902574.80  275171.83  954.82  800.08  -8.14  -8.66
 101  -75.7428053  36.1871703  902535.50  275175.09  919.01  816.61  -7.94  -8.47
 121  -75.7428605  36.1871544  902530.59  275173.17  913.75  816.48  -7.93  -8.44
 111  -75.7428906  36.1872375  902527.58  275182.30  914.05  826.08  -7.90  -8.46
 171  -75.7432552  36.1881327  902491.55  275280.50  913.82  930.69  -8.07  -8.78
 181  -75.7433438  36.1883522  902482.79  275304.58  913.83  956.31  -8.06  -8.59
 191  -75.7434516  36.1886457  902472.02  275336.81  914.75  990.29  -7.98  -8.46
 261  -75.7428410  36.1872500  902531.99  275183.86  918.72  826.04  -7.95  -8.43
